Cross-Track Error (m),Heading Error (rad),Desired Velocity (m/s),Command Steer Angle (rad)
2.5476767922429586e-05,-0.00019602884825165034,30.137223862737578,-9.093083665992447e-05
6.405233409447392e-05,-0.0002347712979267058,30.137223862737578,-6.459124312905491e-05
9.659117876122708e-05,-0.0002534366387001441,30.137223862737578,-5.5113884458546874e-05
0.00011495595314760995,-0.00025383689359692596,30.137223862737578,-7.899543808614616e-05
0.00011138541063045673,-0.00023996470834575234,30.137223862737578,-0.0001492926197080824
8.49541437296316e-05,-0.00022841405186913022,30.137223862737578,-0.00025662047555157825
4.9215412821716436e-05,-0.00022774171494610584,30.137223862737578,-0.0003643273750979962
1.2296620151861218e-05,-0.00022119255749064592,30.137223862737578,-0.0004639273659173373
-3.240986025858408e-05,-0.00019677889307967433,30.137223862737578,-0.0005786518127142928
-9.407984348379803e-05,-0.00016471156436104195,30.137223862737578,-0.0007244516152128191
-0.00016672454906703908,-0.00013611708009086954,30.137223862737578,-0.0008814179182002987
-0.00024353175290372977,-0.00010497624825589469,30.137223862737578,-0.0010380557787784271
-0.00032862461652613507,-6.227385616774939e-05,30.137223862737578,-0.0012099359478476728
-0.000426991723928492,-1.563191579112555e-05,30.137223862737578,-0.0014050536004684131
-0.0005328876044842995,3.2068328702007784e-05,30.137223862737578,-0.0016090215054543173
-0.0006483871265432456,7.377984455321008e-05,30.137223862737578,-0.0018240187536959383
-0.0007598009523241931,9.526051829525264e-05,30.137223862737578,-0.002013320472776521
-0.0008535657820306877,0.00010625595613677151,30.137223862737578,-0.0021553292263854842
-0.0009321916299976807,0.00011596294920298883,30.137223862737578,-0.002265760766352709
-0.0009962151705803961,0.00012042965394151338,30.137223862737578,-0.002347655472163101
-0.001044819752355552,0.00012649296182140005,30.137223862737578,-0.0024054728155039513
-0.001088682899445521,0.0001384387294197896,30.137223862737578,-0.002467218883143586
-0.0011321515914595676,0.0001396801569525305,30.137223862737578,-0.0025336771447710157
-0.0011641882885711711,0.0001326125176809882,30.137223862737578,-0.0025803300987446787
-0.0011928880734210275,0.00011935543012401,30.137223862737578,-0.0026272507115675694
-0.0012097930335870258,9.204838353216345e-05,30.137223862737578,-0.002650989604107668
-0.0012132475251234438,6.222988868236036e-05,30.137223862737578,-0.0026546720895050677
-0.001210201895838917,2.6130753795167855e-05,30.137223862737578,-0.0026527650404736037
-0.001193715034092494,-1.5531163564119765e-05,30.137223862737578,-0.0026295540017147972
-0.0011717510707831113,-5.4662215910106227e-05,30.137223862737578,-0.0026073832034244427
-0.0011470571439094759,-9.362183675420965e-05,30.137223862737578,-0.0025899151381562615
-0.0011231215410780078,-0.0001250751575172515,30.137223862737578,-0.0025868775815402843
-0.0011104617248231493,-0.0001517309340286488,30.137223862737578,-0.0026180147831946863
-0.0011066150164902072,-0.000181445901417554,30.137223862737578,-0.0026700786175917527
-0.001110325937372317,-0.00020560731897578677,30.137223862737578,-0.0027420727495843264
-0.0011288832439476937,-0.0002309395917219348,30.137223862737578,-0.00284500079136914
-0.0011508020261439735,-0.0002728274346814885,30.137223862737578,-0.0029430257307936827
-0.0011641018250784282,-0.0003226448629369827,30.137223862737578,-0.003014302390041289
-0.0011702521277916513,-0.0003653482360110871,30.137223862737578,-0.0030723358818036776
-0.001177195632590185,-0.00040607971031558776,30.137223862737578,-0.0031339039293778394
-0.0011796725691516458,-0.00044365202741580845,30.137223862737578,-0.0031877661047360027
-0.0011875059263134766,-0.0004718970729689076,30.137223862737578,-0.003259576291901648
-0.001202723621469091,-0.0005069612465913309,30.137223862737578,-0.0033443815165742348
